"","ele","time","magvar","geoidheight","name","cmt","desc","src","link1_href","link1_text","link1_type","link2_href","link2_text","link2_type","sym","type","fix","sat","hdop","vdop","pdop","ageofdgpsdata","dgpsid","geometry"
"1",3326,2023-08-03 10:27:59,NA,NA,"former USF13",NA,"site was sampled here the first time it was sampled, then moved upstream thereafter",NA,NA,NA,NA,NA,NA,NA,"chemist-24",NA,NA,NA,NA,NA,NA,NA,NA,c(-105.773763983581, 35.7794507196626)
"2",2664,2023-06-01 11:55:16,NA,NA,"USF6",NA,"Synoptic site. No longer sampled after 2023.",NA,NA,NA,NA,NA,NA,NA,"chemist-24",NA,NA,NA,NA,NA,NA,NA,NA,c(-105.790693730516, 35.7301547775133)
"3",3405,2023-08-03 13:17:54,NA,NA,"USF16",NA,NA,NA,NA,NA,NA,NA,NA,NA,"chemist-24",NA,NA,NA,NA,NA,NA,NA,NA,c(-105.771360720906, 35.7839117422158)
"4",3407,2023-08-03 12:18:17,NA,NA,"USF15",NA,NA,NA,NA,NA,NA,NA,NA,NA,"chemist-24",NA,NA,NA,NA,NA,NA,NA,NA,c(-105.772088250903, 35.7840317168869)
"5",2412,2023-05-30 11:18:18,NA,NA,"USF1",NA,"At old usgs station at concrete overflow. No longer sampled after 2023.",NA,NA,NA,NA,NA,NA,NA,"chemist-24",NA,NA,NA,NA,NA,NA,NA,NA,c(-105.824098314003, 35.6885963860811)
"6",3378,2023-09-07 13:33:54,NA,NA,"USF17",NA,"No q",NA,NA,NA,NA,NA,NA,NA,"chemist-24",NA,NA,NA,NA,NA,NA,NA,NA,c(-105.771381278124, 35.7819194692748)
"7",2666,2024-04-23 15:25:57,NA,NA,"USF20",NA,"pt, baro logger, s::can, and synoptic location ",NA,NA,NA,NA,NA,NA,NA,"attraction",NA,NA,NA,NA,NA,NA,NA,NA,c(-105.790012879005, 35.7309854637748)
"8",2589,2023-05-31 11:14:04,NA,NA,"USF4",NA,"synoptic site + PT (to install)",NA,NA,NA,NA,NA,NA,NA,"water-24",NA,NA,NA,NA,NA,NA,NA,NA,c(-105.797904951294, 35.721028076789)
"9",2852,2023-06-12 14:33:34,NA,NA,"USF11",NA,"extra bonus synoptic site + extra bonus PT (hobo) to be installed.",NA,NA,NA,NA,NA,NA,NA,"water-24",NA,NA,NA,NA,NA,NA,NA,NA,c(-105.776153464144, 35.7450494646183)
"10",2568,2023-06-01 15:33:18,NA,NA,"USF8",NA,"synoptics only",NA,NA,NA,NA,NA,NA,NA,"chemist-24",NA,NA,NA,NA,NA,NA,NA,NA,c(-105.802346328159, 35.7170240206861)
"11",2903,2023-06-12 13:50:12,NA,NA,"USF9",NA,"extra bonus synoptic site + extra bonus PT (hobo) to be installed.",NA,NA,NA,NA,NA,NA,NA,"water-24",NA,NA,NA,NA,NA,NA,NA,NA,c(-105.77709, 35.74776)
"12",2680,2023-06-01 13:23:40,NA,NA,"USF7",NA,"Pt + synoptic location",NA,NA,NA,NA,NA,NA,NA,"water-24",NA,NA,NA,NA,NA,NA,NA,NA,c(-105.791299789738, 35.7304622172105)
"13",3394,2023-09-07 13:46:22,NA,NA,"USF18",NA,NA,NA,NA,NA,NA,NA,NA,NA,"chemist-24",NA,NA,NA,NA,NA,NA,NA,NA,c(-105.771257110956, 35.7829759303095)
"14",2510,2023-05-30 14:19:56,NA,NA,"USF3",NA,"synoptics + PT",NA,NA,NA,NA,NA,NA,NA,"water-24",NA,NA,NA,NA,NA,NA,NA,NA,c(-105.805769311232, 35.7078539027321)
"15",2425,2023-06-13 10:09:28,NA,NA,"USF12",NA,"s::can + synoptics location. discharge is from usgs gage. ",NA,NA,NA,NA,NA,NA,NA,"attraction",NA,NA,NA,NA,NA,NA,NA,NA,c(-105.822968661159, 35.6887798979492)
"16",2901,2023-06-12 15:12:29,NA,NA,"USF10",NA,"extra bonus synoptic site + extra bonus PT (hobo) to be installed.",NA,NA,NA,NA,NA,NA,NA,"water-24",NA,NA,NA,NA,NA,NA,NA,NA,c(-105.77688, 35.74801)
"17",2589,2023-05-31 12:36:34,NA,NA,"USF5",NA,"synoptic site + PT",NA,NA,NA,NA,NA,NA,NA,"water-24",NA,NA,NA,NA,NA,NA,NA,NA,c(-105.797799807356, 35.7210238729365)
"18",2418,2023-05-30 11:39:53,NA,NA,"USF2",NA,"No longer sampled after 2023.",NA,NA,NA,NA,NA,NA,NA,"chemist-24",NA,NA,NA,NA,NA,NA,NA,NA,c(-105.823426963702, 35.6883908713928)
"19",3360,2024-05-08 15:35:13,NA,NA,"USF13",NA,"synoptic + PT location",NA,NA,NA,NA,NA,NA,NA,"water-24",NA,NA,NA,NA,NA,NA,NA,NA,c(-105.774433334047, 35.7806034605767)
"20",3326,2023-08-03 11:11:18,NA,NA,"USF14",NA,"synoptic site + PT",NA,NA,NA,NA,NA,NA,NA,"water-24",NA,NA,NA,NA,NA,NA,NA,NA,c(-105.77355875449, 35.7794594558259)
"21",3539,2023-09-07 14:32:23,NA,NA,"USF19",NA,"synoptic site + PT (to be installed)",NA,NA,NA,NA,NA,NA,NA,"water-24",NA,NA,NA,NA,NA,NA,NA,NA,c(-105.776409081395, 35.7887989096226)
